cod_ibge,COD_idf,indice,pesos
3205200,d6_c1_i1,1,46073
3205309,d6_c1_i1,1,34767
3200102,d6_c1_i2,1,4897
3200136,d6_c1_i2,1,1787
3200169,d6_c1_i2,1,2580
3200201,d6_c1_i2,1,4766
3200300,d6_c1_i2,1,1788
3200359,d6_c1_i2,1,1627
3200409,d6_c1_i2,1,4322
3200508,d6_c1_i2,1,1783
3200607,d6_c1_i2,1,13977
3200706,d6_c1_i2,1,1850
3200805,d6_c1_i2,1,5041
3200904,d6_c1_i2,1,7253
3201001,d6_c1_i2,1,2923
3201100,d6_c1_i2,1,2112
3201159,d6_c1_i2,1,2202
3201209,d6_c1_i2,1,22838
3201308,d6_c1_i2,1,57919
3201407,d6_c1_i2,1,3579
3201506,d6_c1_i2,1,14110
3201605,d6_c1_i2,1,6457
3201704,d6_c1_i2,1,1630
3201803,d6_c1_i2,1,749
3201902,d6_c1_i2,1,3190
3202009,d6_c1_i2,1,1306
3202108,d6_c1_i2,1,4420
3202207,d6_c1_i2,1,3536
3202256,d6_c1_i2,1,1618
3202306,d6_c1_i2,1,5487
3202405,d6_c1_i2,1,15609
3202454,d6_c1_i2,1,2966
3202504,d6_c1_i2,1,2980
3202553,d6_c1_i2,1,2206
3202603,d6_c1_i2,1,1252
3202652,d6_c1_i2,1,2190
3202702,d6_c1_i2,1,2139
3202801,d6_c1_i2,1,8736
3202900,d6_c1_i2,1,1167
3203007,d6_c1_i2,1,4385
3203056,d6_c1_i2,1,5106
3203106,d6_c1_i2,1,1959
3203130,d6_c1_i2,1,2225
3203163,d6_c1_i2,1,1508
3203205,d6_c1_i2,1,16982
3203304,d6_c1_i2,1,2419
3203320,d6_c1_i2,1,8527
3203346,d6_c1_i2,1,1700
3203353,d6_c1_i2,1,1866
3203403,d6_c1_i2,1,5482
3203502,d6_c1_i2,1,4955
3203601,d6_c1_i2,1,1308
3203700,d6_c1_i2,1,2761
3203809,d6_c1_i2,1,3022
3203908,d6_c1_i2,1,7850
3204005,d6_c1_i2,1,2597
3204054,d6_c1_i2,1,5044
3204104,d6_c1_i2,1,4211
3204203,d6_c1_i2,1,4232
3204252,d6_c1_i2,1,1993
3204302,d6_c1_i2,1,3016
3204351,d6_c1_i2,1,2112
3204401,d6_c1_i2,1,1247
3204500,d6_c1_i2,1,2176
3204559,d6_c1_i2,1,3661
3204609,d6_c1_i2,1,1801
3204658,d6_c1_i2,1,1402
3204708,d6_c1_i2,1,3988
3204807,d6_c1_i2,1,2597
3204906,d6_c1_i2,1,25948
3204955,d6_c1_i2,1,1505
3205002,d6_c1_i2,1,69106
3205010,d6_c1_i2,1,3049
3205036,d6_c1_i2,1,2393
3205069,d6_c1_i2,1,2627
3205101,d6_c1_i2,1,12436
3205150,d6_c1_i2,1,1722
3205176,d6_c1_i2,1,1918
3205200,d6_c1_i2,1,46073
3205309,d6_c1_i2,1,34767
3200102,d6_c1_i3,1,4897
3200136,d6_c1_i3,1,1787
3200169,d6_c1_i3,1,2580
3200201,d6_c1_i3,1,4766
3200300,d6_c1_i3,1,1788
3200359,d6_c1_i3,1,1627
3200409,d6_c1_i3,1,4322
3200508,d6_c1_i3,1,1783
3200607,d6_c1_i3,1,13977
3200706,d6_c1_i3,1,1850
3200805,d6_c1_i3,1,5041
3200904,d6_c1_i3,1,7253
3201001,d6_c1_i3,1,2923
3201100,d6_c1_i3,1,2112
3201159,d6_c1_i3,1,2202
3201209,d6_c1_i3,1,22838
3201308,d6_c1_i3,1,57919
3201407,d6_c1_i3,1,3579
3201506,d6_c1_i3,1,14110
3201605,d6_c1_i3,1,6457
3201704,d6_c1_i3,1,1630
3201803,d6_c1_i3,1,749
3201902,d6_c1_i3,1,3190
3202009,d6_c1_i3,1,1306
3202108,d6_c1_i3,1,4420
3202207,d6_c1_i3,1,3536
3202256,d6_c1_i3,1,1618
3202306,d6_c1_i3,1,5487
3202405,d6_c1_i3,1,15609
3202454,d6_c1_i3,1,2966
3202504,d6_c1_i3,1,2980
3202553,d6_c1_i3,1,2206
3202603,d6_c1_i3,1,1252
3202652,d6_c1_i3,1,2190
3202702,d6_c1_i3,1,2139
3202801,d6_c1_i3,1,8736
3202900,d6_c1_i3,1,1167
3203007,d6_c1_i3,1,4385
3203056,d6_c1_i3,1,5106
3203106,d6_c1_i3,1,1959
3203130,d6_c1_i3,1,2225
3203163,d6_c1_i3,1,1508
3203205,d6_c1_i3,1,16982
3203304,d6_c1_i3,1,2419
3203320,d6_c1_i3,1,8527
3203346,d6_c1_i3,1,1700
3203353,d6_c1_i3,1,1866
3203403,d6_c1_i3,1,5482
3203502,d6_c1_i3,1,4955
3203601,d6_c1_i3,1,1308
3203700,d6_c1_i3,1,2761
3203809,d6_c1_i3,1,3022
3203908,d6_c1_i3,1,7850
3204005,d6_c1_i3,1,2597
3204054,d6_c1_i3,1,5044
3204104,d6_c1_i3,1,4211
3204203,d6_c1_i3,1,4232
3204252,d6_c1_i3,1,1993
3204302,d6_c1_i3,1,3016
3204351,d6_c1_i3,1,2112
3204401,d6_c1_i3,1,1247
3204500,d6_c1_i3,1,2176
3204559,d6_c1_i3,1,3661
3204609,d6_c1_i3,1,1801
3204658,d6_c1_i3,1,1402
3204708,d6_c1_i3,1,3988
3204807,d6_c1_i3,1,2597
3204906,d6_c1_i3,1,25948
3204955,d6_c1_i3,1,1505
3205002,d6_c1_i3,1,69106
3205010,d6_c1_i3,1,3049
3205036,d6_c1_i3,1,2393
3205069,d6_c1_i3,1,2627
3205101,d6_c1_i3,1,12436
3205150,d6_c1_i3,1,1722
3205176,d6_c1_i3,1,1918
3205200,d6_c1_i3,1,46073
3205309,d6_c1_i3,1,34767
3200102,d6_c1,1,4897
3200136,d6_c1,1,1787
3200169,d6_c1,1,2580
3200201,d6_c1,1,4766
3200300,d6_c1,1,1788
3200359,d6_c1,1,1627
3200409,d6_c1,1,4322
3200508,d6_c1,1,1783
3200607,d6_c1,1,13977
3200706,d6_c1,1,1850
3200805,d6_c1,1,5041
3200904,d6_c1,1,7253
3201001,d6_c1,1,2923
3201100,d6_c1,1,2112
3201159,d6_c1,1,2202
3201209,d6_c1,1,22838
3201308,d6_c1,1,57919
3201407,d6_c1,1,3579
3201506,d6_c1,1,14110
3201605,d6_c1,1,6457
3201704,d6_c1,1,1630
3201803,d6_c1,1,749
3201902,d6_c1,1,3190
3202009,d6_c1,1,1306
3202108,d6_c1,1,4420
3202207,d6_c1,1,3536
3202256,d6_c1,1,1618
3202306,d6_c1,1,5487
3202405,d6_c1,1,15609
3202454,d6_c1,1,2966
3202504,d6_c1,1,2980
3202553,d6_c1,1,2206
3202603,d6_c1,1,1252
3202652,d6_c1,1,2190
3202702,d6_c1,1,2139
3202801,d6_c1,1,8736
3202900,d6_c1,1,1167
3203007,d6_c1,1,4385
3203056,d6_c1,1,5106
3203106,d6_c1,1,1959
3203130,d6_c1,1,2225
3203163,d6_c1,1,1508
3203205,d6_c1,1,16982
3203304,d6_c1,1,2419
3203320,d6_c1,1,8527
3203346,d6_c1,1,1700
3203353,d6_c1,1,1866
3203403,d6_c1,1,5482
3203502,d6_c1,1,4955
3203601,d6_c1,1,1308
3203700,d6_c1,1,2761
3203809,d6_c1,1,3022
3203908,d6_c1,1,7850
3204005,d6_c1,1,2597
3204054,d6_c1,1,5044
3204104,d6_c1,1,4211
3204203,d6_c1,1,4232
3204252,d6_c1,1,1993
3204302,d6_c1,1,3016
3204351,d6_c1,1,2112
3204401,d6_c1,1,1247
3204500,d6_c1,1,2176
3204559,d6_c1,1,3661
3204609,d6_c1,1,1801
3204658,d6_c1,1,1402
3204708,d6_c1,1,3988
3204807,d6_c1,1,2597
3204906,d6_c1,1,25948
3204955,d6_c1,1,1505
3205002,d6_c1,1,69106
3205010,d6_c1,1,3049
3205036,d6_c1,1,2393
3205069,d6_c1,1,2627
3205101,d6_c1,1,12436
3205150,d6_c1,1,1722
3205176,d6_c1,1,1918
3205200,d6_c1,1,46073
3205309,d6_c1,1,34767
3200102,d5_c1_i1,1,4897
3200136,d5_c1_i1,1,1787
3200169,d5_c1_i1,1,2580
3200201,d5_c1_i1,1,4766
3200300,d5_c1_i1,1,1788
3200359,d5_c1_i1,1,1627
3200409,d5_c1_i1,1,4322
3200508,d5_c1_i1,1,1783
3200607,d5_c1_i1,1,13977
3200706,d5_c1_i1,1,1850
3200805,d5_c1_i1,1,5041
3200904,d5_c1_i1,1,7253
3201001,d5_c1_i1,1,2923
3201100,d5_c1_i1,1,2112
3201159,d5_c1_i1,1,2202
3201209,d5_c1_i1,1,22838
3201407,d5_c1_i1,1,3579
3201506,d5_c1_i1,1,14110
3201605,d5_c1_i1,1,6457
3201704,d5_c1_i1,1,1630
3201803,d5_c1_i1,1,749
3201902,d5_c1_i1,1,3190
